PLAYER_NAME,PLAYER_ID,ab3c attempt,ab3lc attempt,ab3rc attempt,paint attempt,lc3 attempt,mrc attempt,mrlc attempt,mrl attempt,mrrc attempt,mrr attempt,ra attempt,rc3 attempt,ab3c pct,ab3lc pct,ab3rc pct,paint pct,lc3 pct,mrc pct,mrlc pct,mrl pct,mrrc pct,mrr pct,ra pct,rc3 pct,total_attempts,Salary,Pos,Ht,Wt,Exp,Birth Date
Bismack Biyombo,202687,0,0,0,80,0,1,0,3,1,6,187,0,0,0,0,0.2625,0,0,0,0,0,0.3333333333333333,0.6844919786096256,0,278,17000000,C,6-8,255,8,"August 28, 1992"
Blake Griffin,201933,27,37,23,32,15,2,2,10,0,1,91,10,0.4074074074074074,0.21621621621621623,0.17391304347826086,0.25,0.2,0,0.5,0.2,0,0,0.5494505494505495,0.1,250,34449964,PF,6-9,250,9,"March 16, 1989"
Boban Marjanovic,1626246,6,5,5,59,0,3,2,8,2,13,107,1,0.16666666666666666,0,0.4,0.4067796610169492,0,0.3333333333333333,0,0.5,0.5,0.3076923076923077,0.7757009345794392,1,211,3500000,C,7-3,290,4,"August 15, 1988"
Bobby Portis,1626171,56,30,61,121,23,23,12,34,13,50,150,16,0.3392857142857143,0.23333333333333334,0.39344262295081966,0.4793388429752066,0.5217391304347826,0.30434782608695654,0.5833333333333334,0.38235294117647056,0.6153846153846154,0.32,0.6,0.25,589,15000000,PF,6-10,250,4,"February 10, 1995"
Bogdan Bogdanovic,203992,74,156,120,108,44,23,11,25,16,26,116,46,0.2972972972972973,0.4423076923076923,0.3416666666666667,0.48148148148148145,0.36363636363636365,0.6521739130434783,0.36363636363636365,0.4,0.625,0.4230769230769231,0.6120689655172413,0.34782608695652173,766,8529386,SG,6-6,220,2,"August 18, 1992"
Bojan Bogdanovic,202711,76,102,126,178,58,18,5,13,5,27,232,94,0.4342105263157895,0.4117647058823529,0.35714285714285715,0.38764044943820225,0.5,0.2777777777777778,0.2,0.38461538461538464,0.2,0.25925925925925924,0.6077586206896551,0.425531914893617,935,17000000,SF,6-7,226,5,"April 18, 1989"
Bol Bol,1629626,2,3,1,5,0,0,0,4,1,1,9,2,1,0.6666666666666666,0,0.6,0,0,0,0,0,0,0.7777777777777778,0,28,79568,PF,7-2,220,0,"November 16, 1999"
Brad Wanamaker,202954,27,41,28,74,3,10,16,7,9,11,133,3,0.3333333333333333,0.4146341463414634,0.25,0.28378378378378377,0.6666666666666666,0.3,0.375,0.2857142857142857,0.4444444444444444,0.45454545454545453,0.631578947368421,0.6666666666666666,362,1445697,PG,6-3,210,1,"July 25, 1989"
Bradley Beal,203078,114,167,138,188,38,68,41,63,36,63,363,23,0.30701754385964913,0.39520958083832336,0.36231884057971014,0.39893617021276595,0.3684210526315789,0.5294117647058824,0.36585365853658536,0.36507936507936506,0.3055555555555556,0.42857142857142855,0.650137741046832,0.21739130434782608,1303,27093018,SG,6-3,207,7,"June 28, 1993"
Brandon Clarke,1629634,14,11,10,134,12,6,5,9,4,10,248,16,0.5,0.36363636363636365,0.3,0.582089552238806,0.3333333333333333,0.5,0.4,0.1111111111111111,0.25,0.4,0.7419354838709677,0.3125,479,2478840,PF,6-8,215,0,"September 19, 1996"
Brandon Goodwin,1629164,17,18,33,38,7,5,1,3,3,6,47,10,0.29411764705882354,0.4444444444444444,0.3333333333333333,0.42105263157894735,0.2857142857142857,0.4,1,0.3333333333333333,0,0.5,0.574468085106383,0,190,522738,PG,6-0,180,1,"October 2, 1995"
Brandon Ingram,1627742,61,121,92,164,60,54,30,63,35,61,307,46,0.3770491803278688,0.34710743801652894,0.41304347826086957,0.3719512195121951,0.45,0.37037037037037035,0.5333333333333333,0.5555555555555556,0.37142857142857144,0.3442622950819672,0.6254071661237784,0.41304347826086957,1096,7265485,PF,6-8,190,3,"September 2, 1997"
Brandon Knight,202688,33,41,42,18,9,0,1,0,0,5,12,6,0.3939393939393939,0.3902439024390244,0.2619047619047619,0.4444444444444444,0.3333333333333333,0,0,0,0,0.4,0.3333333333333333,0.3333333333333333,167,15643750,SG,6-2,182,7,"December 2, 1991"
Brook Lopez,201572,75,87,90,133,36,5,0,19,2,19,169,36,0.25333333333333335,0.28735632183908044,0.37777777777777777,0.40601503759398494,0.3333333333333333,0.6,0,0.3684210526315789,0.5,0.6842105263157895,0.6686390532544378,0.3055555555555556,671,12093024,C,7-0,282,11,"April 1, 1988"
Bruce Brown,1628971,5,12,19,123,28,1,1,7,2,2,215,32,0,0.25,0.2631578947368421,0.35772357723577236,0.39285714285714285,0,0,0.42857142857142855,0,0.5,0.5441860465116279,0.4375,447,1416852,PG,6-4,202,1,"August 15, 1996"
Bruno Caboclo,203998,5,7,6,11,5,2,1,2,0,1,40,9,0,0.14285714285714285,0,0.45454545454545453,0.2,0,1,0.5,0,1,0.625,0.3333333333333333,89,1845301,C,6-9,218,5,"September 21, 1995"
Bruno Fernando,1628981,7,8,7,31,5,0,0,1,2,4,124,10,0,0.25,0.2857142857142857,0.3225806451612903,0,0,0,1,0,0.5,0.6854838709677419,0.1,199,1400000,C,6-9,240,0,"August 15, 1998"
Bryn Forbes,1627854,95,124,124,57,15,40,17,5,21,15,45,22,0.2736842105263158,0.43548387096774194,0.4274193548387097,0.38596491228070173,0.3333333333333333,0.5,0.35294117647058826,0.4,0.42857142857142855,0.4,0.6444444444444445,0.45454545454545453,581,2875000,SG,6-2,205,3,"July 23, 1993"
Buddy Hield,1627741,137,254,166,90,82,45,42,57,26,36,178,48,0.32116788321167883,0.4015748031496063,0.3855421686746988,0.34444444444444444,0.4634146341463415,0.3333333333333333,0.5714285714285714,0.3157894736842105,0.46153846153846156,0.3611111111111111,0.6404494382022472,0.4791666666666667,1162,4861207,SG,6-4,220,3,"December 17, 1992"
Caleb Martin,1628997,8,14,8,3,2,1,3,3,1,1,35,5,0.375,0.7142857142857143,0.375,0.3333333333333333,0.5,0,0,0,1,1,0.4,0.6,84,898310,SF,6-5,205,0,"September 28, 1995"
Caleb Swanigan,1628403,1,0,0,12,0,2,0,2,0,0,29,1,0,0,0,0.5,0,0.5,0,0,0,0,0.7241379310344828,0,47,2033160,PF,6-9,260,2,"April 18, 1997"
Cam Reddish,1629629,42,69,58,86,40,17,13,8,20,18,142,41,0.3333333333333333,0.34782608695652173,0.3275862068965517,0.3372093023255814,0.325,0.35294117647058826,0.3076923076923077,0.125,0.45,0.3888888888888889,0.5211267605633803,0.3170731707317073,554,4245720,SF,6-8,218,0,"September 1, 1999"
Cameron Johnson,1629661,31,62,64,16,53,11,5,6,2,12,81,61,0.2903225806451613,0.41935483870967744,0.390625,0.125,0.41509433962264153,0.2727272727272727,0.2,0.3333333333333333,1,0.5,0.6666666666666666,0.39344262295081966,405,4033440,PF,6-8,210,0,"March 3, 1996"
Cameron Payne,1626166,3,13,7,11,1,1,2,2,3,4,17,4,1,0.5384615384615384,0.42857142857142855,0.36363636363636365,0,0,0,0,0.6666666666666666,0.5,0.5882352941176471,0.5,68,196288,SG,6-1,183,4,"August 8, 1994"
Caris LeVert,1627747,69,81,44,217,18,22,12,19,4,16,223,7,0.2753623188405797,0.3950617283950617,0.38636363636363635,0.3870967741935484,0.4444444444444444,0.18181818181818182,0.4166666666666667,0.2631578947368421,0.5,0.4375,0.5560538116591929,0.5714285714285714,732,2625717,SG,6-6,205,3,"August 25, 1994"
Carmelo Anthony,2546,23,76,76,93,14,16,42,69,30,134,173,35,0.34782608695652173,0.3684210526315789,0.3157894736842105,0.46236559139784944,0.35714285714285715,0.375,0.35714285714285715,0.391304347826087,0.36666666666666664,0.4253731343283582,0.5202312138728323,0.6285714285714286,782,2159029,PF,6-7,238,16,"May 29, 1984"
Carsen Edwards,1629035,20,29,18,9,5,9,5,2,5,1,21,4,0.25,0.3448275862068966,0.4444444444444444,0,0,0.3333333333333333,0.8,0.5,0.6,0,0.3333333333333333,0.25,128,1228026,SG,5-11,200,0,"March 12, 1998"
Cedi Osman,1626224,39,111,93,71,29,3,2,17,4,14,178,46,0.3076923076923077,0.36036036036036034,0.43010752688172044,0.36619718309859156,0.4482758620689655,1,0,0.23529411764705882,0.5,0.35714285714285715,0.5786516853932584,0.391304347826087,609,2907143,SF,6-7,230,2,"April 8, 1995"
Chandler Hutchison,1628990,1,11,5,35,14,1,0,4,0,2,95,7,0,0.18181818181818182,0.4,0.3142857142857143,0.35714285714285715,0,0,0.25,0,0,0.5894736842105263,0.42857142857142855,175,2332320,SF,6-6,210,1,"April 26, 1996"
Chasson Randle,1626184,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,91557,PG,6-2,185,2,"February 5, 1993"
Cheick Diallo,1627767,0,0,1,25,0,6,1,1,3,7,96,2,0,0,0,0.48,0,0.5,1,1,0.3333333333333333,0.2857142857142857,0.7395833333333334,0.5,142,1678854,C,6-8,219,3,"September 13, 1996"
Chimezie Metu,1629002,0,1,1,10,0,4,3,3,0,3,17,0,0,0,0,0.5,0,0.5,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.7647058823529411,0,42,1416852,C,6-9,225,1,"March 22, 1997"
Chris Boucher,1628449,26,26,48,23,7,0,1,1,2,6,148,11,0.34615384615384615,0.34615384615384615,0.3333333333333333,0.34782608695652173,0.14285714285714285,0,0,1,0.5,0.3333333333333333,0.6148648648648649,0.2727272727272727,299,1588231,C,6-9,200,2,"January 11, 1993"
Chris Chiozza,1629185,16,24,23,15,5,3,2,1,2,3,43,3,0.4375,0.375,0.2608695652173913,0.4666666666666667,0.4,0.3333333333333333,0.5,0,0,0,0.4418604651162791,1,140,79568,PG,5-11,175,1,"November 21, 1995"
Chris Clemons,1629598,35,35,35,4,0,1,0,1,1,2,26,2,0.37142857142857144,0.2857142857142857,0.37142857142857144,0.5,0,0,0,0,1,1,0.5769230769230769,0.5,142,563346,SG,5-9,180,0,"July 23, 1997"
Chris Paul,101108,85,97,76,217,21,84,38,37,50,82,75,13,0.4823529411764706,0.38144329896907214,0.27631578947368424,0.4976958525345622,0.42857142857142855,0.5476190476190477,0.6578947368421053,0.5405405405405406,0.5,0.5,0.7733333333333333,0.15384615384615385,887,38506482,PG,6-0,175,14,"May 6, 1985"
Chris Silva,1629735,0,0,0,12,1,1,0,0,0,4,58,2,0,0,0,0.3333333333333333,0,1,0,0,0,0.5,0.7068965517241379,0,78,466918,PF,6-8,234,0,"September 19, 1996"
Christian Wood,1626174,27,31,41,92,13,2,6,3,3,18,244,27,0.2962962962962963,0.45161290322580644,0.4146341463414634,0.34782608695652173,0.3076923076923077,1,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7704918032786885,0.4074074074074074,508,1645357,PF,6-10,214,3,"September 27, 1995"
CJ McCollum,203468,117,180,135,265,40,87,45,59,52,68,268,40,0.3247863247863248,0.34444444444444444,0.37037037037037035,0.4377358490566038,0.575,0.47126436781609193,0.4666666666666667,0.4406779661016949,0.5769230769230769,0.5,0.5559701492537313,0.525,1356,27556959,SG,6-3,190,6,"September 19, 1991"
Clint Capela,203991,0,0,0,67,0,1,0,2,0,1,317,0,0,0,0,0.3582089552238806,0,0,0,0.5,0,0,0.6908517350157729,0,388,16896552,C,6-10,240,5,"May 18, 1994"
Coby White,1629632,90,110,119,78,41,25,19,6,36,24,228,15,0.3111111111111111,0.38181818181818183,0.36134453781512604,0.3717948717948718,0.3170731707317073,0.44,0.47368421052631576,0,0.25,0.3333333333333333,0.4956140350877193,0.4666666666666667,792,5307120,PG,6-5,195,0,"February 16, 2000"
Cody Martin,1628998,6,23,17,14,17,7,6,1,1,1,100,14,0.3333333333333333,0.21739130434782608,0.29411764705882354,0.21428571428571427,0.23529411764705882,0.42857142857142855,0.16666666666666666,0,0,0,0.64,0.14285714285714285,207,1173310,SF,6-5,205,0,"September 28, 1995"
Cody Zeller,203469,34,13,24,82,1,0,1,1,1,2,317,3,0.23529411764705882,0.23076923076923078,0.20833333333333334,0.35365853658536583,1,0,1,0,1,0.5,0.6340694006309149,0.3333333333333333,479,14471910,C,6-11,240,6,"October 5, 1992"
Collin Sexton,1629012,58,63,102,270,16,28,13,47,31,43,399,16,0.43103448275862066,0.2857142857142857,0.3627450980392157,0.44814814814814813,0.5625,0.39285714285714285,0.3076923076923077,0.3617021276595745,0.5161290322580645,0.4186046511627907,0.5739348370927319,0.5,1086,4764960,PG,6-1,190,1,"January 4, 1999"
Corey Brewer,201147,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,4,183115,PF,6-9,186,12,"March 5, 1986"
Cory Joseph,202709,24,58,35,89,26,28,18,21,8,11,78,14,0.20833333333333334,0.3793103448275862,0.34285714285714286,0.38202247191011235,0.4230769230769231,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.75,0.2727272727272727,0.6282051282051282,0.42857142857142855,412,12000000,PG,6-3,200,8,"August 20, 1991"
Courtney Lee,201584,7,9,11,8,12,1,2,3,2,4,15,8,0.5714285714285714,0.5555555555555556,0.2727272727272727,0.5,0.5,1,0.5,0.3333333333333333,0,0.25,0.7333333333333333,0.375,82,12759670,SG,6-5,215,11,"October 3, 1985"
Cristiano Felicio,1626245,2,0,0,6,0,0,0,1,0,1,44,0,0,0,0,0.5,0,0,0,0,0,0,0.7045454545454546,0,54,8156500,C,6-11,270,4,"July 7, 1992"
D'Angelo Russell,1626156,109,151,132,162,16,38,33,26,38,40,78,21,0.3761467889908257,0.37748344370860926,0.3409090909090909,0.3888888888888889,0.375,0.5789473684210527,0.5454545454545454,0.34615384615384615,0.5,0.425,0.6923076923076923,0.42857142857142855,846,27285000,PG,6-4,193,4,"February 23, 1996"
Damian Jones,1627745,1,1,0,13,2,3,0,0,0,1,152,5,0,0,0,0.23076923076923078,0,0.3333333333333333,0,0,0,0,0.756578947368421,0.4,178,2305057,C,6-11,245,3,"June 30, 1995"
Damian Lillard,203081,194,236,213,95,10,22,19,37,30,38,434,17,0.3556701030927835,0.4279661016949153,0.4084507042253521,0.3473684210526316,0.4,0.3181818181818182,0.2631578947368421,0.5405405405405406,0.5333333333333333,0.4473684210526316,0.5898617511520737,0.47058823529411764,1349,29802321,PG,6-2,195,7,"July 15, 1990"
Damion Lee,1627814,46,44,94,92,30,15,5,24,19,23,94,24,0.30434782608695654,0.45454545454545453,0.32978723404255317,0.391304347826087,0.36666666666666664,0.3333333333333333,0.4,0.5416666666666666,0.2631578947368421,0.43478260869565216,0.6063829787234043,0.375,511,842327,SG,6-5,210,2,"October 21, 1992"
Damyean Dotson,1628422,29,45,62,20,10,20,11,6,19,11,40,17,0.3793103448275862,0.37777777777777777,0.3548387096774194,0.3,0.2,0.55,0.2727272727272727,0.6666666666666666,0.2631578947368421,0.6363636363636364,0.625,0.4117647058823529,290,1618520,SG,6-5,210,2,"May 6, 1994"
Daniel Gafford,1629655,0,0,0,15,0,0,0,0,0,0,119,0,0,0,0,0.2,0,0,0,0,0,0,0.7647058823529411,0,134,898310,C,6-10,234,0,"October 1, 1998"
Daniel Theis,1628464,39,23,16,70,4,10,7,5,1,11,226,12,0.38461538461538464,0.2608695652173913,0.375,0.44285714285714284,0.5,0.4,0.5714285714285714,0.6,1,0.45454545454545453,0.7123893805309734,0.25,426,5000000,C,6-8,245,2,"April 4, 1992"
Danilo Gallinari,201568,96,156,137,79,22,20,32,54,20,40,134,26,0.4583333333333333,0.41025641025641024,0.3795620437956204,0.2911392405063291,0.3181818181818182,0.4,0.53125,0.42592592592592593,0.4,0.4,0.6343283582089553,0.4230769230769231,817,22615559,PF,6-10,233,10,"August 8, 1988"
Danny Green,201980,25,63,101,35,63,5,4,17,3,11,72,75,0.2,0.3333333333333333,0.38613861386138615,0.4857142857142857,0.4444444444444444,0.2,0,0.29411764705882354,0,0.6363636363636364,0.6527777777777778,0.36,474,14634147,SG,6-6,215,10,"June 22, 1987"
Dante Exum,203957,4,10,15,21,8,0,0,1,0,2,52,5,0.5,0.3,0.4666666666666667,0.2857142857142857,0.25,0,0,1,0,1,0.6153846153846154,0.2,119,9600000,SG,6-5,214,4,"July 13, 1995"
DaQuan Jeffries,1629610,2,4,4,7,2,2,0,0,0,1,12,6,1,0.25,0,0.5714285714285714,0,0.5,0,0,0,0,0.8333333333333334,0.3333333333333333,40,898310,SG,6-5,230,0,"August 30, 1997"
Dario Saric,203967,74,53,67,60,23,18,1,8,10,14,192,18,0.4189189189189189,0.4339622641509434,0.31343283582089554,0.4,0.17391304347826086,0.5555555555555556,0,0.25,0.5,0.5,0.6458333333333334,0.2777777777777778,538,3481985,PF,6-10,225,3,"April 8, 1994"
Darius Bazley,1629647,18,33,39,51,19,8,2,5,2,5,104,31,0.3333333333333333,0.48484848484848486,0.28205128205128205,0.2549019607843137,0.47368421052631576,0.375,0,0.2,0.5,0.4,0.5384615384615384,0.22580645161290322,317,2284800,PF,6-8,208,0,"June 12, 2000"
Darius Garland,1629636,68,80,88,123,36,25,14,30,26,41,145,23,0.3382352941176471,0.2875,0.3977272727272727,0.43089430894308944,0.3888888888888889,0.28,0.5714285714285714,0.43333333333333335,0.4230769230769231,0.4634146341463415,0.4413793103448276,0.43478260869565216,699,6400920,SG,6-1,192,0,"January 26, 2000"
David Nwaba,1628021,0,3,12,10,5,0,0,1,0,0,32,8,0,0.3333333333333333,0.4166666666666667,0.4,0.6,0,0,0,0,0,0.65625,0.375,71,903111,SF,6-5,219,3,"January 14, 1993"
Davis Bertans,202722,101,158,174,30,19,3,7,8,4,14,72,19,0.3465346534653465,0.45569620253164556,0.41379310344827586,0.3,0.47368421052631576,0,0.14285714285714285,0.5,0.5,0.42857142857142855,0.5972222222222222,0.631578947368421,610,7000000,PF,6-10,225,3,"November 12, 1992"
De'Aaron Fox,1628368,38,75,42,219,18,27,19,26,9,12,317,11,0.34210526315789475,0.29333333333333333,0.3333333333333333,0.4337899543378995,0.2222222222222222,0.4444444444444444,0.5789473684210527,0.38461538461538464,0.6666666666666666,0.16666666666666666,0.6309148264984227,0.18181818181818182,815,6392760,PG,6-3,185,2,"December 20, 1997"
De'Andre Hunter,1629631,39,81,73,101,55,25,27,10,18,23,175,54,0.41025641025641024,0.32098765432098764,0.3698630136986301,0.2871287128712871,0.38181818181818183,0.4,0.4074074074074074,0.7,0.6111111111111112,0.30434782608695654,0.5542857142857143,0.3333333333333333,683,7068360,SF,6-8,225,0,"December 2, 1997"
De'Anthony Melton,1629001,22,46,40,79,15,12,12,4,18,14,122,15,0.22727272727272727,0.30434782608695654,0.225,0.379746835443038,0.4,0.08333333333333333,0.25,0.5,0.2777777777777778,0.42857142857142855,0.6065573770491803,0.4,401,1416852,PG,6-2,200,1,"May 28, 1998"
Dean Wade,1629731,0,1,1,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0.7777777777777778,0.5,13,375000,PF,6-9,228,0,"November 20, 1996"
Deandre Ayton,1629028,8,3,0,128,1,36,17,47,7,32,288,1,0.25,0,0,0.4453125,0,0.4444444444444444,0.29411764705882354,0.425531914893617,0.14285714285714285,0.28125,0.6909722222222222,1,568,9562920,C,6-11,250,1,"July 23, 1998"
DeAndre Jordan,201599,0,0,0,20,0,0,2,1,0,0,264,0,0,0,0,0.4,0,0,0.5,0,0,0,0.6893939393939394,0,287,9881598,C,6-11,265,11,"July 21, 1988"
